ID|SNOMED_CID|SNOMED_FSN|SNOMED_CONCEPT_STATUS|UMLS_CUI|OCCURRENCE|USAGE|FIRST_IN_SUBSET|IS_RETIRED_FROM_SUBSET|LAST_IN_SUBSET|REPLACED_BY_SNOMED_CID
1|38341003|Hypertensive disorder, systemic arterial (disorder)|Current|C0020538|8|3.2242|200907|False||
2|55822004|Hyperlipidemia (disorder)|Current|C0020473|8|2.1369|200907|False||
3|35489007|Depressive disorder (disorder)|Current|C0011581|8|1.5077|200907|False||
4|235595009|Gastroesophageal reflux disease (disorder)|Current|C0017168|8|1.3691|200907|False||
5|268565007|Adult health examination (procedure)|Current|C0420151|5|1.1992|200907|False||
6|44054006|Diabetes mellitus type 2 (disorder)|Current|C0011860|8|1.0432|200907|False||
7|59621000|Essential hypertension (disorder)|Current|C0085580|7|0.9291|200907|False||
8|414916001|Obesity (disorder)|Current|C0028754|8|0.9252|200907|False||
9|73211009|Diabetes mellitus (disorder)|Current|C0011849|8|0.9239|200907|False||
10|195967001|Asthma (disorder)|Current|C0004096|8|0.8856|200907|False||
11|53741008|Coronary arteriosclerosis (disorder)|Current|C0010054|8|0.8621|200907|False||
12|61582004|Allergic rhinitis (disorder)|Current|C2607914|8|0.8243|200907|False||
13|40930008|Hypothyroidism (disorder)|Current|C0020676|7|0.8226|200907|False||
14|410620009|Well child visit (procedure)|Current|C1444717|4|0.6908|200907|False||
15|54150009|Upper respiratory infection (disorder)|Current|C0041912|8|0.6758|200907|False||
16|13644009|Hypercholesterolemia (disorder)|Current|C0020443|7|0.6479|200907|False||
17|161891005|Backache (finding)|Current|C0004604|8|0.6269|200907|False||
18|21522001|Abdominal pain (finding)|Current|C0000737|8|0.6117|200907|False||
19|396275006|Osteoarthritis (disorder)|Current|C0029408|7|0.5893|200907|False||
20|279039007|Low back pain (finding)|Current|C0024031|8|0.5862|200907|False||
21|271737000|Anemia (disorder)|Current|C0002871|8|0.5822|200907|False||
22|48694002|Anxiety (finding)|Current|C0003467|7|0.5581|200907|False||
23|68566005|Urinary tract infectious disease (disorder)|Current|C0042029|8|0.5362|200907|False||
24|13645005|Chronic obstructive lung disease (disorder)|Current|C0024117|8|0.5304|200907|False||
25|49436004|Atrial fibrillation (disorder)|Current|C0004238|8|0.499|200907|False||
26|233604007|Pneumonia (disorder)|Current|C0032285|8|0.4722|200907|False||
27|29857009|Chest pain (finding)|Current|C0008031|8|0.4714|200907|False||
28|42343007|Congestive heart failure (disorder)|Current|C0018802|8|0.4631|200907|False||
29|25064002|Headache (finding)|Current|C0018681|8|0.4587|200907|False||
30|37796009|Migraine (disorder)|Current|C0149931|8|0.4336|200907|False||
31|77386006|Pregnant (finding)|Current|C0549206|7|0.4231|200907|False||
32|30989003|Knee pain (finding)|Current|C0231749|8|0.3997|200907|False||
33|64859006|Osteoporosis (disorder)|Current|C0029456|8|0.3965|200907|False||
34|68496003|Polyp of colon (disorder)|Current|C0009376|7|0.3767|200907|False||
35|65363002|Otitis media (disorder)|Current|C0029882|8|0.3664|200907|False||
36|36971009|Sinusitis (disorder)|Current|C0037199|7|0.3488|200907|False||
37|49727002|Cough (finding)|Current|C0010200|8|0.3422|200907|False||
38|73430006|Sleep apnea (disorder)|Current|C0037315|8|0.3309|200907|False||
39|193462001|Insomnia (disorder)|Current|C0917801|8|0.3123|200907|False||
40|90560007|Inflammatory disorder due to increased blood urate level (disorder)|Current|C0018099|8|0.2931|200907|False||
41|89765005|Tobacco dependence syndrome (disorder)|Current|C0040332|7|0.2928|200907|False||
42|399068003|Malignant tumor of prostate (disorder)|Current|C0376358|7|0.2915|200907|False||
43|14760008|Constipation (finding)|Current|C0009806|8|0.2869|200907|False||
44|15188001|Hearing loss (disorder)|Current|C1384666|8|0.2711|200907|False||
45|10509002|Acute bronchitis (disorder)|Current|C0149514|7|0.2682|200907|False||
46|95570007|Kidney stone (disorder)|Current|C0022650|8|0.264|200907|False||
47|84229001|Fatigue (finding)|Current|C0015672|6|0.2633|200907|False||
48|78275009|Obstructive sleep apnea syndrome (disorder)|Current|C0520679|8|0.262|200907|False||
